activity subject variable mean
walking 1 frequencyDomainSignalBodyAccelerometerStandardDeviationY 0.056040006846
walking 1 frequencyDomainSignalBodyAccelerometerStandardDeviationZ -0.279686751494737
walking 1 frequencyDomainSignalBodyAccelerometerJerkMeanX -0.170546964549579
walking 1 frequencyDomainSignalBodyAccelerometerJerkMeanY -0.0352255241130632
walking 1 frequencyDomainSignalBodyAccelerometerJerkMeanZ -0.468999224631579
walking 1 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationX -0.133586606326316
walking 1 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationY 0.106739857136
walking 1 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationZ -0.534713440421053
walking 1 frequencyDomainSignalBodyGyroscopeMeanX -0.339032197115789
walking 1 frequencyDomainSignalBodyGyroscopeMeanY -0.103059416434737
walking 1 frequencyDomainSignalBodyGyroscopeMeanZ -0.255940940315789
walking 1 frequencyDomainSignalBodyGyroscopeStandardDeviationX -0.516691938736842
walking 1 frequencyDomainSignalBodyGyroscopeStandardDeviationY -0.0335081597884211
walking 1 frequencyDomainSignalBodyGyroscopeStandardDeviationZ -0.436562227473684
walking 1 frequencyDomainSignalBodyAccelerometerMagnitudeMean -0.128623450629474
walking 1 frequencyDomainSignalBodyAccelerometerMagnitudeStandardDeviation -0.398032586842105
walking 1 frequencyDomainSignalBodyAccelerometerJerkMagnitudeMean -0.0571194000343158
walking 1 frequencyDomainSignalBodyAccelerometerJerkMagnitudeStandardDeviation -0.103492403002105
walking 1 frequencyDomainSignalBodyGyroscopeMagnitudeMean -0.199252568986316
walking 1 frequencyDomainSignalBodyGyroscopeMagnitudeStandardDeviation -0.321017953894737
walking 1 frequencyDomainSignalBodyGyroscopeJerkMagnitudeMean -0.319308593778947
walking 1 frequencyDomainSignalBodyGyroscopeJerkMagnitudeStandardDeviation -0.381601911789474
walking 2 timeBodyAccelerometerMeanX 0.276426586440678
walking 2 timeBodyAccelerometerMeanY -0.0185949199145763
walking 2 timeBodyAccelerometerMeanZ -0.105500357966102
walking 2 timeBodyAccelerometerStandardDeviationX -0.423642838474576
walking 2 timeBodyAccelerometerStandardDeviationY -0.0780912533118644
walking 2 timeBodyAccelerometerStandardDeviationZ -0.425257524915254
walking 2 timeGravityAccelerometerMeanX 0.91301733338983
walking 2 timeGravityAccelerometerMeanY -0.34660709
walking 2 timeGravityAccelerometerMeanZ 0.0847270871186441
walking 2 timeGravityAccelerometerStandardDeviationX -0.972693201355932
walking 2 timeGravityAccelerometerStandardDeviationY -0.972116879661017
walking 2 timeGravityAccelerometerStandardDeviationZ -0.972072847627119
walking 2 timeBodyAccelerometerJerkMeanX 0.0618080696279661
walking 2 timeBodyAccelerometerJerkMeanY 0.0182492679288136
walking 2 timeBodyAccelerometerJerkMeanZ 0.00789533706610169
walking 2 timeBodyAccelerometerJerkStandardDeviationX -0.277530462620339
walking 2 timeBodyAccelerometerJerkStandardDeviationY -0.0166022362847458
walking 2 timeBodyAccelerometerJerkStandardDeviationZ -0.586090418983051
walking 2 timeBodyGyroscopeMeanX -0.0530258157347458
walking 2 timeBodyGyroscopeMeanY -0.0482382316949153
walking 2 timeBodyGyroscopeMeanZ 0.0828336633220339
walking 2 timeBodyGyroscopeStandardDeviationX -0.561550255762712
walking 2 timeBodyGyroscopeStandardDeviationY -0.53845366779661
walking 2 timeBodyGyroscopeStandardDeviationZ -0.481085535084746
walking 2 timeBodyGyroscopeJerkMeanX -0.0818833429152542
walking 2 timeBodyGyroscopeJerkMeanY -0.0538299449067797
walking 2 timeBodyGyroscopeJerkMeanZ -0.0514939156830508
walking 2 timeBodyGyroscopeJerkStandardDeviationX -0.389549831525424
walking 2 timeBodyGyroscopeJerkStandardDeviationY -0.634140436101695
walking 2 timeBodyGyroscopeJerkStandardDeviationZ -0.435492677288136
walking 2 timeBodyAccelerometerMagnitudeMean -0.290407593728814
walking 2 timeBodyAccelerometerMagnitudeStandardDeviation -0.422544169322034
walking 2 timeGravityAccelerometerMagnitudeMean -0.290407593728814
walking 2 timeGravityAccelerometerMagnitudeStandardDeviation -0.422544169322034
walking 2 timeBodyAccelerometerJerkMagnitudeMean -0.281424153881356
walking 2 timeBodyAccelerometerJerkMagnitudeStandardDeviation -0.164150985127119
walking 2 timeBodyGyroscopeMagnitudeMean -0.446549092881356
walking 2 timeBodyGyroscopeMagnitudeStandardDeviation -0.553019916271186
walking 2 timeBodyGyroscopeJerkMagnitudeMean -0.547911950338983
walking 2 timeBodyGyroscopeJerkMagnitudeStandardDeviation -0.557798151355932
walking 2 frequencyDomainSignalBodyAccelerometerMeanX -0.346048161016949
walking 2 frequencyDomainSignalBodyAccelerometerMeanY -0.0219048103322034
walking 2 frequencyDomainSignalBodyAccelerometerMeanZ -0.453806369830508
walking 2 frequencyDomainSignalBodyAccelerometerStandardDeviationX -0.457651383728814
walking 2 frequencyDomainSignalBodyAccelerometerStandardDeviationY -0.16921968620339
walking 2 frequencyDomainSignalBodyAccelerometerStandardDeviationZ -0.455222146440678
walking 2 frequencyDomainSignalBodyAccelerometerJerkMeanX -0.304615322881356
walking 2 frequencyDomainSignalBodyAccelerometerJerkMeanY -0.0787640836610169
walking 2 frequencyDomainSignalBodyAccelerometerJerkMeanZ -0.554956709661017
walking 2 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationX -0.31431306340678
walking 2 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationY -0.0153329520084746
walking 2 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationZ -0.615898188474576
walking 2 frequencyDomainSignalBodyGyroscopeMeanX -0.429713536101695
walking 2 frequencyDomainSignalBodyGyroscopeMeanY -0.55477211220339
walking 2 frequencyDomainSignalBodyGyroscopeMeanZ -0.396659907457627
walking 2 frequencyDomainSignalBodyGyroscopeStandardDeviationX -0.604053019152542
walking 2 frequencyDomainSignalBodyGyroscopeStandardDeviationY -0.533046952542373
walking 2 frequencyDomainSignalBodyGyroscopeStandardDeviationZ -0.559856635084746
walking 2 frequencyDomainSignalBodyAccelerometerMagnitudeMean -0.324289427932203
walking 2 frequencyDomainSignalBodyAccelerometerMagnitudeStandardDeviation -0.577105211694915
walking 2 frequencyDomainSignalBodyAccelerometerJerkMagnitudeMean -0.169064352813559
walking 2 frequencyDomainSignalBodyAccelerometerJerkMagnitudeStandardDeviation -0.164091969449153
walking 2 frequencyDomainSignalBodyGyroscopeMagnitudeMean -0.530704814745763
walking 2 frequencyDomainSignalBodyGyroscopeMagnitudeStandardDeviation -0.651792839661017
walking 2 frequencyDomainSignalBodyGyroscopeJerkMagnitudeMean -0.583249293389831
walking 2 frequencyDomainSignalBodyGyroscopeJerkMagnitudeStandardDeviation -0.558104554745763
walking 3 timeBodyAccelerometerMeanX 0.275567462068966
walking 3 timeBodyAccelerometerMeanY -0.0171767844203448
walking 3 timeBodyAccelerometerMeanZ -0.112674859827586
walking 3 timeBodyAccelerometerStandardDeviationX -0.360356726034483
walking 3 timeBodyAccelerometerStandardDeviationY -0.0699140652103448
walking 3 timeBodyAccelerometerStandardDeviationZ -0.387411994310345
walking 3 timeGravityAccelerometerMeanX 0.936506743275862
walking 3 timeGravityAccelerometerMeanY -0.261986357931034
walking 3 timeGravityAccelerometerMeanZ -0.138107866258621
walking 3 timeGravityAccelerometerStandardDeviationX -0.97777159137931
walking 3 timeGravityAccelerometerStandardDeviationY -0.962355639482759
walking 3 timeGravityAccelerometerStandardDeviationZ -0.952091795
walking 3 timeBodyAccelerometerJerkMeanX 0.0814745882660345
walking 3 timeBodyAccelerometerJerkMeanY 0.0100591485
walking 3 timeBodyAccelerometerJerkMeanZ -0.00562264594827586
walking 3 timeBodyAccelerometerJerkStandardDeviationX -0.26867964387931
walking 3 timeBodyAccelerometerJerkStandardDeviationY -0.0449619594258621
walking 3 timeBodyAccelerometerJerkStandardDeviationZ -0.52948611637931
walking 3 timeBodyGyroscopeMeanX -0.0256405192517241
walking 3 timeBodyGyroscopeMeanY -0.0779150937413793
walking 3 timeBodyGyroscopeMeanZ 0.0813485942827586
walking 3 timeBodyGyroscopeStandardDeviationX -0.571869560172414
walking 3 timeBodyGyroscopeStandardDeviationY -0.563793260172414
walking 3 timeBodyGyroscopeStandardDeviationZ -0.476696411551724
walking 3 timeBodyGyroscopeJerkMeanX -0.0952398165017241
walking 3 timeBodyGyroscopeJerkMeanY -0.0387874651724138
walking 3 timeBodyGyroscopeJerkMeanZ -0.0503616100815517
walking 3 timeBodyGyroscopeJerkStandardDeviationX -0.385922986034483
walking 3 timeBodyGyroscopeJerkStandardDeviationY -0.639087984137931
walking 3 timeBodyGyroscopeJerkStandardDeviationZ -0.536664080344828
walking 3 timeBodyAccelerometerMagnitudeMean -0.254690333275862
walking 3 timeBodyAccelerometerMagnitudeStandardDeviation -0.328428936551724
walking 3 timeGravityAccelerometerMagnitudeMean -0.254690333275862
walking 3 timeGravityAccelerometerMagnitudeStandardDeviation -0.328428936551724
walking 3 timeBodyAccelerometerJerkMagnitudeMean -0.280009317413793
walking 3 timeBodyAccelerometerJerkMagnitudeStandardDeviation -0.139916355325862
walking 3 timeBodyGyroscopeMagnitudeMean -0.466411754137931
walking 3 timeBodyGyroscopeMagnitudeStandardDeviation -0.561510683275862
walking 3 timeBodyGyroscopeJerkMagnitudeMean -0.566135217931034
walking 3 timeBodyGyroscopeJerkMagnitudeStandardDeviation -0.567371560862069
walking 3 frequencyDomainSignalBodyAccelerometerMeanX -0.316614011689655
walking 3 frequencyDomainSignalBodyAccelerometerMeanY -0.0813024353275862
walking 3 frequencyDomainSignalBodyAccelerometerMeanZ -0.412374074482759
walking 3 frequencyDomainSignalBodyAccelerometerStandardDeviationX -0.379276781206897
walking 3 frequencyDomainSignalBodyAccelerometerStandardDeviationY -0.124030832001724
walking 3 frequencyDomainSignalBodyAccelerometerStandardDeviationZ -0.422998473965517
walking 3 frequencyDomainSignalBodyAccelerometerJerkMeanX -0.304694442551724
walking 3 frequencyDomainSignalBodyAccelerometerJerkMeanY -0.140508590224138
walking 3 frequencyDomainSignalBodyAccelerometerJerkMeanZ -0.514137255344828
walking 3 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationX -0.296596633103448
walking 3 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationY -0.00561498755362069
walking 3 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationZ -0.543529108103448
walking 3 frequencyDomainSignalBodyGyroscopeMeanX -0.437845763793103
walking 3 frequencyDomainSignalBodyGyroscopeMeanY -0.561526265344828
walking 3 frequencyDomainSignalBodyGyroscopeMeanZ -0.418126217413793
walking 3 frequencyDomainSignalBodyGyroscopeStandardDeviationX -0.615121369827586
walking 3 frequencyDomainSignalBodyGyroscopeStandardDeviationY -0.568888673448276
walking 3 frequencyDomainSignalBodyGyroscopeStandardDeviationZ -0.545896388103448
walking 3 frequencyDomainSignalBodyAccelerometerMagnitudeMean -0.290031535172414
walking 3 frequencyDomainSignalBodyAccelerometerMagnitudeStandardDeviation -0.456373080862069
walking 3 frequencyDomainSignalBodyAccelerometerJerkMagnitudeMean -0.186764516965517
walking 3 frequencyDomainSignalBodyAccelerometerJerkMagnitudeStandardDeviation -0.0898519904044828
walking 3 frequencyDomainSignalBodyGyroscopeMagnitudeMean -0.569755772241379
walking 3 frequencyDomainSignalBodyGyroscopeMagnitudeStandardDeviation -0.632643292931034
walking 3 frequencyDomainSignalBodyGyroscopeJerkMagnitudeMean -0.607751646034483
walking 3 frequencyDomainSignalBodyGyroscopeJerkMagnitudeStandardDeviation -0.549087007931034
walking 4 timeBodyAccelerometerMeanX 0.278582015166667
walking 4 timeBodyAccelerometerMeanY -0.0148399475341667
walking 4 timeBodyAccelerometerMeanZ -0.11140306485
walking 4 timeBodyAccelerometerStandardDeviationX -0.440829971333333
walking 4 timeBodyAccelerometerStandardDeviationY -0.0788267367683333
walking 4 timeBodyAccelerometerStandardDeviationZ -0.586252806833333
walking 4 timeGravityAccelerometerMeanX 0.963999696833333
walking 4 timeGravityAccelerometerMeanY -0.0858540265666667
walking 4 timeGravityAccelerometerMeanZ 0.127764112666667
walking 4 timeGravityAccelerometerStandardDeviationX -0.983826494833333
walking 4 timeGravityAccelerometerStandardDeviationY -0.967963221
walking 4 timeGravityAccelerometerStandardDeviationZ -0.962968112
walking 4 timeBodyAccelerometerJerkMeanX 0.0783529082183333
walking 4 timeBodyAccelerometerJerkMeanY 0.00295602428666667
walking 4 timeBodyAccelerometerJerkMeanZ -0.000767679338333334
walking 4 timeBodyAccelerometerJerkStandardDeviationX -0.297042612533333
walking 4 timeBodyAccelerometerJerkStandardDeviationY -0.221165131581667
walking 4 timeBodyAccelerometerJerkStandardDeviationZ -0.7513913825
walking 4 timeBodyGyroscopeMeanX -0.0317982557795
walking 4 timeBodyGyroscopeMeanY -0.0726905278583333
walking 4 timeBodyGyroscopeMeanZ 0.0805677161216667
walking 4 timeBodyGyroscopeStandardDeviationX -0.500916659
walking 4 timeBodyGyroscopeStandardDeviationY -0.665394092833333
walking 4 timeBodyGyroscopeStandardDeviationZ -0.662608226
walking 4 timeBodyGyroscopeJerkMeanX -0.115321556475
walking 4 timeBodyGyroscopeJerkMeanY -0.0393474489133333
walking 4 timeBodyGyroscopeJerkMeanZ -0.0551166852766667
walking 4 timeBodyGyroscopeJerkStandardDeviationX -0.492341066833333
walking 4 timeBodyGyroscopeJerkStandardDeviationY -0.807419937
walking 4 timeBodyGyroscopeJerkStandardDeviationZ -0.640454132833333
walking 4 timeBodyAccelerometerMagnitudeMean -0.312050574166667
walking 4 timeBodyAccelerometerMagnitudeStandardDeviation -0.527679103166667
walking 4 timeGravityAccelerometerMagnitudeMean -0.312050574166667
walking 4 timeGravityAccelerometerMagnitudeStandardDeviation -0.527679103166667
walking 4 timeBodyAccelerometerJerkMagnitudeMean -0.366700879833333
walking 4 timeBodyAccelerometerJerkMagnitudeStandardDeviation -0.316918956
walking 4 timeBodyGyroscopeMagnitudeMean -0.49779220106
walking 4 timeBodyGyroscopeMagnitudeStandardDeviation -0.553116111166667
walking 4 timeBodyGyroscopeJerkMagnitudeMean -0.6813040365
walking 4 timeBodyGyroscopeJerkMagnitudeStandardDeviation -0.7301463685
walking 4 frequencyDomainSignalBodyAccelerometerMeanX -0.426719449666667
walking 4 frequencyDomainSignalBodyAccelerometerMeanY -0.14939963344
walking 4 frequencyDomainSignalBodyAccelerometerMeanZ -0.631005470833333
walking 4 frequencyDomainSignalBodyAccelerometerStandardDeviationX -0.447234929666667
walking 4 frequencyDomainSignalBodyAccelerometerStandardDeviationY -0.101799450565167
walking 4 frequencyDomainSignalBodyAccelerometerStandardDeviationZ -0.594198325666667
walking 4 frequencyDomainSignalBodyAccelerometerJerkMeanX -0.358883413666667
walking 4 frequencyDomainSignalBodyAccelerometerJerkMeanY -0.279553391533333
walking 4 frequencyDomainSignalBodyAccelerometerJerkMeanZ -0.728991595666667
walking 4 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationX -0.29732607245
walking 4 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationY -0.2099000063
walking 4 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationZ -0.772359087333333
walking 4 frequencyDomainSignalBodyGyroscopeMeanX -0.373384540666667
walking 4 frequencyDomainSignalBodyGyroscopeMeanY -0.688460056666667
walking 4 frequencyDomainSignalBodyGyroscopeMeanZ -0.601381129166667
walking 4 frequencyDomainSignalBodyGyroscopeStandardDeviationX -0.542646759
walking 4 frequencyDomainSignalBodyGyroscopeStandardDeviationY -0.654657770166667
walking 4 frequencyDomainSignalBodyGyroscopeStandardDeviationZ -0.716458475166667
walking 4 frequencyDomainSignalBodyAccelerometerMagnitudeMean -0.450804558333333
walking 4 frequencyDomainSignalBodyAccelerometerMagnitudeStandardDeviation -0.651172628166667
walking 4 frequencyDomainSignalBodyAccelerometerJerkMagnitudeMean -0.318587811
walking 4 frequencyDomainSignalBodyAccelerometerJerkMagnitudeStandardDeviation -0.320458701
walking 4 frequencyDomainSignalBodyGyroscopeMagnitudeMean -0.609285588016667
walking 4 frequencyDomainSignalBodyGyroscopeMagnitudeStandardDeviation -0.593937200833333
walking 4 frequencyDomainSignalBodyGyroscopeJerkMagnitudeMean -0.724327420666667
walking 4 frequencyDomainSignalBodyGyroscopeJerkMagnitudeStandardDeviation -0.757768081166667
walking 5 timeBodyAccelerometerMeanX 0.27784234625
walking 5 timeBodyAccelerometerMeanY -0.0172850317482679
walking 5 timeBodyAccelerometerMeanZ -0.107741776464286
walking 5 timeBodyAccelerometerStandardDeviationX -0.294098534232143
walking 5 timeBodyAccelerometerStandardDeviationY 0.0767484028053571
walking 5 timeBodyAccelerometerStandardDeviationZ -0.45702143625
walking 5 timeGravityAccelerometerMeanX 0.972624959821429
walking 5 timeGravityAccelerometerMeanY -0.100440285303571
walking 5 timeGravityAccelerometerMeanZ 0.00247623628392857
walking 5 timeGravityAccelerometerStandardDeviationX -0.979348381428571
walking 5 timeGravityAccelerometerStandardDeviationY -0.961585474821429
walking 5 timeGravityAccelerometerStandardDeviationZ -0.964580803928571
walking 5 timeBodyAccelerometerJerkMeanX 0.0845888833571429
walking 5 timeBodyAccelerometerJerkMeanY -0.0163194101232143
walking 5 timeBodyAccelerometerJerkMeanZ 8.32159351785732e-05
walking 5 timeBodyAccelerometerJerkStandardDeviationX -0.302891024625
walking 5 timeBodyAccelerometerJerkStandardDeviationY -0.0910397428607143
walking 5 timeBodyAccelerometerJerkStandardDeviationZ -0.612895318571429
walking 5 timeBodyGyroscopeMeanX -0.0488919896632143
walking 5 timeBodyGyroscopeMeanY -0.0690135249642857
walking 5 timeBodyGyroscopeMeanZ 0.0815435495892857
walking 5 timeBodyGyroscopeStandardDeviationX -0.490877497857143
walking 5 timeBodyGyroscopeStandardDeviationY -0.504622029821429
walking 5 timeBodyGyroscopeStandardDeviationZ -0.318700615178571
walking 5 timeBodyGyroscopeJerkMeanX -0.0888408355267857
walking 5 timeBodyGyroscopeJerkMeanY -0.0449559531089286
walking 5 timeBodyGyroscopeJerkMeanZ -0.0482679596035714
walking 5 timeBodyGyroscopeJerkStandardDeviationX -0.357681403285714
walking 5 timeBodyGyroscopeJerkStandardDeviationY -0.57143812375
walking 5 timeBodyGyroscopeJerkStandardDeviationZ -0.157682543983929
walking 5 timeBodyAccelerometerMagnitudeMean -0.158338674394643
walking 5 timeBodyAccelerometerMagnitudeStandardDeviation -0.377178733392857
walking 5 timeGravityAccelerometerMagnitudeMean -0.158338674394643
walking 5 timeGravityAccelerometerMagnitudeStandardDeviation -0.377178733392857
walking 5 timeBodyAccelerometerJerkMagnitudeMean -0.288333024071429
walking 5 timeBodyAccelerometerJerkMagnitudeStandardDeviation -0.282242276785714
walking 5 timeBodyGyroscopeMagnitudeMean -0.355933083571429
walking 5 timeBodyGyroscopeMagnitudeStandardDeviation -0.492176823571429
walking 5 timeBodyGyroscopeJerkMagnitudeMean -0.444532485357143
walking 5 timeBodyGyroscopeJerkMagnitudeStandardDeviation -0.48919974625
walking 5 frequencyDomainSignalBodyAccelerometerMeanX -0.287782607410714
walking 5 frequencyDomainSignalBodyAccelerometerMeanY 0.00946037755178572
walking 5 frequencyDomainSignalBodyAccelerometerMeanZ -0.490251090714286
walking 5 frequencyDomainSignalBodyAccelerometerStandardDeviationX -0.297517355196429
walking 5 frequencyDomainSignalBodyAccelerometerStandardDeviationY 0.0426026830839286
walking 5 frequencyDomainSignalBodyAccelerometerStandardDeviationZ -0.483059957321429
walking 5 frequencyDomainSignalBodyAccelerometerJerkMeanX -0.344954806428571
walking 5 frequencyDomainSignalBodyAccelerometerJerkMeanY -0.181055554206071
walking 5 frequencyDomainSignalBodyAccelerometerJerkMeanZ -0.590496615535714
walking 5 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationX -0.3213903195
walking 5 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationY -0.0545213604089286
walking 5 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationZ -0.633429995714286
walking 5 frequencyDomainSignalBodyGyroscopeMeanX -0.372668749642857
walking 5 frequencyDomainSignalBodyGyroscopeMeanY -0.513951718392857
walking 5 frequencyDomainSignalBodyGyroscopeMeanZ -0.213127031035714
walking 5 frequencyDomainSignalBodyGyroscopeStandardDeviationX -0.529392790178571
walking 5 frequencyDomainSignalBodyGyroscopeStandardDeviationY -0.502683380535714
walking 5 frequencyDomainSignalBodyGyroscopeStandardDeviationZ -0.420367075178571
walking 5 frequencyDomainSignalBodyAccelerometerMagnitudeMean -0.304992488892857
walking 5 frequencyDomainSignalBodyAccelerometerMagnitudeStandardDeviation -0.519636926071429
walking 5 frequencyDomainSignalBodyAccelerometerJerkMagnitudeMean -0.269481661080357
walking 5 frequencyDomainSignalBodyAccelerometerJerkMagnitudeStandardDeviation -0.305685376071429
walking 5 frequencyDomainSignalBodyGyroscopeMagnitudeMean -0.484262828928571
walking 5 frequencyDomainSignalBodyGyroscopeMagnitudeStandardDeviation -0.589741506785714
walking 5 frequencyDomainSignalBodyGyroscopeJerkMagnitudeMean -0.548053574821429
walking 5 frequencyDomainSignalBodyGyroscopeJerkMagnitudeStandardDeviation -0.455665300892857
walking 6 timeBodyAccelerometerMeanX 0.283658868070175
walking 6 timeBodyAccelerometerMeanY -0.0168954189082456
walking 6 timeBodyAccelerometerMeanZ -0.110303165877193
walking 6 timeBodyAccelerometerStandardDeviationX -0.296538717368421
walking 6 timeBodyAccelerometerStandardDeviationY 0.164213884996491
walking 6 timeBodyAccelerometerStandardDeviationZ -0.504324207192982
walking 6 timeGravityAccelerometerMeanX 0.958067455087719
walking 6 timeGravityAccelerometerMeanY -0.214694852280702
walking 6 timeGravityAccelerometerMeanZ 0.0331888826842105
walking 6 timeGravityAccelerometerStandardDeviationX -0.977779896491228
walking 6 timeGravityAccelerometerStandardDeviationY -0.964248568070175
walking 6 timeGravityAccelerometerStandardDeviationZ -0.957205025789474
walking 6 timeBodyAccelerometerJerkMeanX 0.0699585876912281
walking 6 timeBodyAccelerometerJerkMeanY -0.0164831715964912
walking 6 timeBodyAccelerometerJerkMeanZ -0.00738931200701754
walking 6 timeBodyAccelerometerJerkStandardDeviationX -0.132784766936842
walking 6 timeBodyAccelerometerJerkStandardDeviationY 0.00808897373684211
walking 6 timeBodyAccelerometerJerkStandardDeviationZ -0.575777466491228
walking 6 timeBodyGyroscopeMeanX -0.025509618645614
walking 6 timeBodyGyroscopeMeanY -0.0744462466
walking 6 timeBodyGyroscopeMeanZ 0.0838808799280702
walking 6 timeBodyGyroscopeStandardDeviationX -0.446020952631579
walking 6 timeBodyGyroscopeStandardDeviationY -0.331702267894737
walking 6 timeBodyGyroscopeStandardDeviationZ -0.383139334736842
walking 6 timeBodyGyroscopeJerkMeanX -0.0878891090105263
walking 6 timeBodyGyroscopeJerkMeanY -0.0362308971842105
walking 6 timeBodyGyroscopeJerkMeanZ -0.0539597284210526
walking 6 timeBodyGyroscopeJerkStandardDeviationX -0.18260093354386
walking 6 timeBodyGyroscopeJerkStandardDeviationY -0.416390246140351
walking 6 timeBodyGyroscopeJerkStandardDeviationZ -0.166684422233333
walking 6 timeBodyAccelerometerMagnitudeMean -0.166840713631579
walking 6 timeBodyAccelerometerMagnitudeStandardDeviation -0.266734167368421
walking 6 timeGravityAccelerometerMagnitudeMean -0.166840713631579
walking 6 timeGravityAccelerometerMagnitudeStandardDeviation -0.266734167368421
walking 6 timeBodyAccelerometerJerkMagnitudeMean -0.195117026052632
walking 6 timeBodyAccelerometerJerkMagnitudeStandardDeviation -0.0706029648421053
walking 6 timeBodyGyroscopeMagnitudeMean -0.281207841122807
walking 6 timeBodyGyroscopeMagnitudeStandardDeviation -0.36560291677193
walking 6 timeBodyGyroscopeJerkMagnitudeMean -0.321290483140351
walking 6 timeBodyGyroscopeJerkMagnitudeStandardDeviation -0.364708342315789
walking 6 frequencyDomainSignalBodyAccelerometerMeanX -0.187934323140351
walking 6 frequencyDomainSignalBodyAccelerometerMeanY 0.140781621991228
walking 6 frequencyDomainSignalBodyAccelerometerMeanZ -0.498520164385965
walking 6 frequencyDomainSignalBodyAccelerometerStandardDeviationX -0.34522769
walking 6 frequencyDomainSignalBodyAccelerometerStandardDeviationY 0.101699642168947
walking 6 frequencyDomainSignalBodyAccelerometerStandardDeviationZ -0.550474621754386
walking 6 frequencyDomainSignalBodyAccelerometerJerkMeanX -0.150942917824561
walking 6 frequencyDomainSignalBodyAccelerometerJerkMeanY -0.0753742321614035
walking 6 frequencyDomainSignalBodyAccelerometerJerkMeanZ -0.541438616140351
walking 6 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationX -0.19269469414386
walking 6 frequencyDomainSignalBodyAccelerometerJerkStandardDeviationY 0.0314450678263158
